year,total,enteric_fermentation,manure_management,rice_cultivation,agricultural_soils,prescribed_burning_of_savannas,field_burning_agricultural_residues,liming,urea_application,carbon_containing_fertilizers,other
1986,2029.47,1098.48,449.71,0.00,424.27,0.00,0.00,44.00,9.09,3.92
1990,1951.30,1047.48,444.85,0.00,402.76,0.00,0.00,44.00,8.67,3.55
1991,1832.54,991.17,417.37,0.00,369.26,0.00,0.00,44.00,7.66,3.09
1992,1947.36,1005.99,435.06,0.00,444.57,0.00,0.00,44.00,12.68,5.06
1993,1838.74,959.86,413.88,0.00,405.70,0.00,0.00,44.00,10.99,4.32
1994,1855.14,968.72,412.33,0.00,414.51,0.00,0.00,44.00,11.18,4.39
1995,1854.98,1012.76,384.17,0.00,413.16,0.00,0.00,28.62,12.27,4.00
1996,1793.76,992.30,364.58,0.00,399.21,0.00,0.00,23.77,9.80,4.10
1997,1743.32,937.66,364.66,0.00,410.18,0.00,0.00,14.79,11.67,4.35
1998,1783.28,957.08,372.92,0.00,419.82,0.00,0.00,17.24,11.75,4.48
1999,1798.98,998.75,343.91,0.00,421.66,0.00,0.00,18.62,11.62,4.42
2000,1892.13,1062.80,365.28,0.00,430.70,0.00,0.00,17.15,11.84,4.36
2001,1867.69,1043.42,362.61,0.00,428.65,0.00,0.00,16.53,12.04,4.44
2002,1927.98,1075.21,384.36,0.00,436.44,0.00,0.00,14.76,12.97,4.25
2003,1832.81,1015.58,365.75,0.00,418.00,0.00,0.00,15.99,12.90,4.59
2004,1781.45,1007.85,347.18,0.00,398.05,0.00,0.00,13.75,10.76,3.87
2005,1798.72,1025.44,349.95,0.00,394.28,0.00,0.00,13.54,11.65,3.86
2006,1797.91,1022.05,348.62,0.00,398.55,0.00,0.00,13.86,11.09,3.74
2007,1858.87,1066.06,362.58,0.00,402.87,0.00,0.00,12.50,10.52,4.33
2008,1781.53,1041.62,344.00,0.00,373.04,0.00,0.00,12.16,7.41,3.30
2009,1790.46,1024.99,346.43,0.00,388.82,0.00,0.00,12.82,13.48,3.92
2010,1758.27,1010.86,336.32,0.00,383.28,0.00,0.00,12.89,11.10,3.83
2011,1740.59,1011.13,328.17,0.00,376.53,0.00,0.00,10.90,9.62,4.25
2012,1724.56,1006.88,320.43,0.00,370.26,0.00,0.00,12.04,11.24,3.70
2013,1709.18,995.45,320.30,0.00,367.07,0.00,0.00,11.84,10.35,4.18
2014,1755.99,1016.96,326.24,0.00,387.51,0.00,0.00,11.09,9.42,4.77
2015,1799.50,1047.84,337.75,0.00,389.65,0.00,0.00,10.78,8.74,4.74
2016,1822.16,1065.36,344.75,0.00,387.70,0.00,0.00,10.54,9.46,4.36
2017,1787.83,1043.54,341.63,0.00,379.61,0.00,0.00,10.25,8.30,4.51
2018,1787.57,1038.43,340.53,0.00,382.26,0.00,0.00,11.62,10.52,4.21
2019,1807.84,1051.97,341.10,0.00,386.61,0.00,0.00,12.97,10.39,4.81
2020,1812.53,1054.64,338.28,0.00,389.46,0.00,0.00,14.01,11.79,4.35
2021,1812.99,1051.47,338.20,0.00,394.43,0.00,0.00,15.22,9.44,4.23
