year,total,fuel_combustion_activities.total,fuel_combustion_activities.energy_industries,fuel_combustion_activities.manufacturing_construction,fuel_combustion_activities.transport,fuel_combustion_activities.other_sectors,fuel_combustion_activities.other,fugitive_emissions_from_fuels.total,fugitive_emissions_from_fuels.solid_fuels,fugitive_emissions_from_fuels.oil_natural_gas_and_energy_production,co2_transport_storage
1986,16317.09847,15667.77877,6839.584932,4123.771063,2051.166581,2611.850486,41.40570403,649.3197048,601.8705372,47.44916759,0
1990,14705.10551,14144.16057,6374.256164,3095.079336,2737.214542,1905.615209,31.99531675,560.944942,504.7155232,56.22941882,0
1991,13791.69662,13269.48782,5429.990621,3076.268264,2593.352835,2162.975152,6.900950672,522.2087958,469.8077164,52.40107941,0
1992,13704.82721,13133.3111,5963.136804,2585.674247,2635.308493,1947.811369,1.380190134,571.5161039,528.1834954,43.33260854,0
1993,14243.18268,13718.77029,5753.260293,2512.63643,3185.127454,2266.365925,1.380190134,524.4123901,482.548209,41.86418107,0
1994,14459.45299,13955.96833,5535.270862,2681.000913,3569.719543,2168.596822,1.380190134,503.4846601,461.3354011,42.14925903,0
1995,15230.1088,14698.51428,5724.178486,2630.490155,3988.8888,2353.576647,1.380190134,531.5945225,481.1189446,50.47557785,0
1996,15883.25222,15371.34042,5326.83625,2521.369798,4530.060411,2991.693768,1.380190134,511.9118037,464.2306721,47.68113163,0
1997,16391.84139,15844.02311,5746.744187,2300.399658,4737.737918,3057.761153,1.380190134,547.8182861,496.6079981,51.21028795,0
1998,15935.30876,15390.38651,5986.066006,2281.479258,3939.897237,3180.246369,2.697644354,544.9222508,493.6626069,51.25964393,0
1999,15256.02664,14735.01942,5287.450142,2296.362495,3729.689672,3418.631257,2.885852099,521.0072203,468.1998043,52.80741602,0
2000,14873.70653,14358.87236,5592.95776,2293.438729,3676.079143,2793.322668,3.074059845,514.8341738,461.1495112,53.68466256,0
2001,16097.04599,15590.68018,6310.543242,2212.708519,3837.127047,3227.039105,3.26226759,506.3658095,451.5454402,54.82036932,0
2002,16314.89643,15760.93571,6563.202568,2244.527627,3904.168352,3045.774891,3.26226759,553.9607221,501.2078033,52.75291884,0
2003,15996.06426,15412.01695,6289.987325,2174.929207,3953.666425,2990.171721,3.26226759,584.0473147,526.0482576,57.99905719,0
2004,16394.81796,15810.88473,6422.238988,2325.438091,4132.137211,2927.651332,3.419107378,583.9332336,526.6037531,57.32948051,0
2005,16600.63061,16031.03109,6449.283898,2461.10348,4401.338487,2715.980218,3.325003506,569.5995275,510.5203056,59.07922193,0
2006,16787.29241,16206.81734,6505.653649,2599.948645,4637.346939,2460.543101,3.325003506,580.4750696,523.2577805,57.2172891,0
2007,16963.48766,16375.59925,6726.898652,2362.814376,5239.947182,2042.457197,3.481843294,587.888407,529.7839149,58.10449215,0
2008,17966.42032,17396.69626,6500.178376,2334.856861,6159.079678,2399.028897,3.552449429,569.7240578,514.3417061,55.38235168,0
2009,16180.31468,15619.51336,6216.703165,1957.241684,5158.764433,2283.465559,3.338521439,560.8013175,508.9375467,51.86377079,0
2010,16454.10492,15890.6142,6346.730895,1932.303533,5299.219368,2309.472078,2.888327409,563.4907137,509.600456,53.89025763,0
2011,16372.48382,15799.70626,6366.053448,1732.018619,5649.476969,2048.789037,3.368182617,572.7775675,527.2967095,45.480858,0
2012,15745.91006,15188.9804,6058.818071,1662.535125,5668.060126,1796.19068,3.376401636,556.9296548,513.6850343,43.2446205,0
2013,15015.12148,14519.75592,5778.781364,1655.586042,5367.270529,1715.105023,3.012965714,495.365556,453.4974609,41.86809509,0
2014,13308.01126,12919.24115,4452.255359,1662.394216,5383.263648,1417.577337,3.750591775,388.7701073,351.2308046,37.53930269,0
2015,13462.60437,13061.76217,4565.790202,1604.691417,5353.648884,1533.933801,3.69786187,400.8422056,361.006297,39.83590854,0
2016,14315.70367,13886.55826,4934.799388,1617.723919,5726.818185,1603.582265,3.634501733,429.1454148,386.8184012,42.32701357,0
2017,14386.52605,13945.79137,4920.885613,1693.19397,5856.284531,1471.291667,4.135586035,440.734687,396.1075529,44.62713405,0
2018,14222.85414,13802.09146,4805.9967,1790.050752,5835.006117,1367.128948,3.908939994,420.7626808,377.024267,43.73841372,0
2019,13718.38427,13309.56839,4579.59922,1747.244689,5624.99728,1353.720152,4.007052692,408.815875,364.7830666,44.03280835,0
2020,12561.82951,12150.51086,4514.766675,1702.649386,4575.487954,1354.434757,3.172084712,411.3186555,367.3868571,43.93179839,0
2021,12753.10082,12394.40737,4198.37208,1732.555035,5205.456915,1253.433045,4.590292811,358.6934543,312.6453406,46.04811376,0
